iter	Passed	Remaining
405	8755	2027
406	8778	2005
407	8799	1984
408	8819	1962
409	8842	1940
410	8862	1919
411	8883	1897
412	8907	1876
413	8933	1855
414	8952	1833
415	8975	1812
416	8996	1790
417	9019	1769
418	9040	1747
419	9062	1726
420	9084	1704
421	9107	1683
422	9128	1661
423	9150	1640
424	9171	1618
425	9194	1597
426	9216	1575
427	9238	1554
428	9260	1532
429	9281	1510
430	9304	1489
431	9326	1468
432	9347	1446
433	9369	1424
434	9391	1403
435	9414	1381
436	9437	1360
437	9460	1339
438	9481	1317
439	9504	1296
440	9526	1274
441	9552	1253
442	9575	1232
443	9597	1210
444	9620	1188
445	9639	1167
446	9663	1145
447	9684	1124
448	9704	1102
449	9726	1080
450	9747	1059
451	9768	1037
452	9788	1015
453	9809	993
454	9828	972
455	9849	950
456	9868	928
457	9889	906
458	9916	885
459	9940	864
460	9961	842
461	9982	821
462	10003	799
463	10025	777
464	10046	756
465	10068	734
466	10087	712
467	10111	691
468	10132	669
469	10152	648
470	10174	626
471	10196	604
472	10216	583
473	10236	561
474	10258	539
475	10278	518
476	10298	496
477	10319	474
478	10343	453
479	10363	431
480	10384	410
481	10418	389
482	10460	368
483	10485	346
484	10509	325
485	10529	303
486	10550	281
487	10574	260
488	10597	238
489	10620	216
490	10642	195
491	10665	173
492	10686	151
493	10708	130
494	10728	108
495	10749	86
496	10770	65
497	10790	43
498	10812	21
499	10831	0
