iter	Accuracy	MultiClass
0	0.9194636388	1.274268814
1	0.9268960642	1.177623179
2	0.9273307508	1.097355387
3	0.937104937	1.030938743
4	0.9395418695	0.9693584537
5	0.9394482386	0.9143318336
6	0.9394413009	0.8626321911
7	0.9423809532	0.8140440895
8	0.9444573853	0.7700737341
9	0.9451645352	0.7343206883
10	0.9450692332	0.6973025234
11	0.9445059492	0.666142312
12	0.9457399989	0.635589714
13	0.9473900753	0.6063446916
14	0.9484924387	0.5786891952
15	0.9479447258	0.5552881909
16	0.9490262762	0.5319117799
17	0.9512882251	0.5090760227
18	0.9511946188	0.490116693
19	0.952721667	0.4701610293
20	0.9541551089	0.4526368943
21	0.9548033657	0.4358469383
22	0.9554741314	0.4202324152
23	0.9557549255	0.4060847282
24	0.9579544105	0.3925258178
25	0.9586026673	0.3800828075
26	0.9588765238	0.3684382102
27	0.9591503802	0.3574135042
28	0.9584796145	0.3460468714
29	0.9603688587	0.3357094003
30	0.9606496529	0.3252981139
31	0.9614642845	0.3148347827
32	0.9618681314	0.3048197217
33	0.9625597102	0.2956420786
34	0.9629774326	0.2865945024
35	0.9645339273	0.2777501727
36	0.9644680965	0.2707018331
37	0.9648424969	0.2636663184
38	0.9652896658	0.2567435896
39	0.9662048414	0.2502856188
40	0.9664648224	0.2446227488
41	0.9666086883	0.2383804288
42	0.9675602482	0.2326795281
43	0.9678271669	0.2275343784
44	0.9676971764	0.2224679035
45	0.9681010233	0.2174859168
46	0.9687787267	0.2128964181
47	0.9683679421	0.2081884462
48	0.9690456454	0.2036945306
49	0.9695933583	0.1987207257
50	0.9694633678	0.1946520549
51	0.9697372242	0.1907736886
52	0.9701410712	0.1868715949
53	0.9698810902	0.1835768341
54	0.9710701222	0.1796291593
55	0.9713370409	0.1760244031
56	0.9714739691	0.1727054676
57	0.9718847538	0.1698046265
58	0.9722886007	0.1675189703
59	0.972021682	0.1651171393
60	0.9724185912	0.1628151544
61	0.9726560634	0.1598845781
62	0.9726560634	0.1576048707
63	0.9731968386	0.1551040582
64	0.9737376138	0.1533451837
65	0.973874542	0.1513578638
66	0.9740114702	0.1492876371
67	0.973874542	0.1469790001
68	0.9737376138	0.145331845
69	0.9746822359	0.1430696437
70	0.9748261018	0.1410926935
71	0.9744222549	0.1395518292
72	0.97496303	0.1381338297
73	0.9750999582	0.1367072735
74	0.97496303	0.1350668406
75	0.9750930205	0.1337062705
76	0.9748261018	0.1318855227
77	0.9752368865	0.1303510465
78	0.9753738147	0.1290446138
79	0.9755107429	0.1277452897
80	0.9757845993	0.1265031886
81	0.9760584558	0.1251899085
82	0.9760584558	0.1240361423
83	0.9766061687	0.1229322951
84	0.9764623027	0.1216779971
85	0.9772769343	0.1206095877
86	0.9768800251	0.1194555915
87	0.9771538815	0.1181943075
88	0.9771469438	0.1173012169
89	0.9782284942	0.1163296298
90	0.9784954129	0.1153278971
91	0.9783723601	0.1144601329
92	0.979180054	0.1135649611
93	0.9789061975	0.112317881
94	0.979180054	0.11159337
95	0.9791506074	0.1103263033
96	0.9791506074	0.1096113745
97	0.9794175262	0.1089110656
98	0.9798213731	0.1081478683
99	0.9794175262	0.1071294214
100	0.9796913826	0.1063858885
101	0.9798213731	0.1056546389
102	0.9801021673	0.1048770653
103	0.9802321578	0.1040451635
104	0.9802321578	0.1031169555
105	0.9801021673	0.1024712648
106	0.9802390955	0.1019003766
107	0.9802390955	0.1009725816
108	0.9802390955	0.1003379011
109	0.9803760237	0.09972958607
110	0.9805129519	0.09892901694
111	0.9805129519	0.09823964732
112	0.9805129519	0.09767014383
113	0.9805129519	0.09710731555
114	0.9805129519	0.0964302303
115	0.9806498801	0.09564201002
116	0.9806498801	0.09483506935
117	0.9809167989	0.09400649947
118	0.9809167989	0.09348284932
119	0.9809167989	0.09282314951
120	0.9810537271	0.09225898779
121	0.9811906553	0.0917365602
122	0.9815945023	0.09119305097
123	0.9813275835	0.09074695562
124	0.9813275835	0.09030265181
125	0.9817314305	0.08982857446
126	0.9821058309	0.08926354465
127	0.9821058309	0.08884881351
128	0.9821058309	0.08842344415
129	0.9821058309	0.08787561317
130	0.9821058309	0.08743761255
131	0.9824802313	0.08696708087
132	0.9820052869	0.08648493594
133	0.9820052869	0.08612894913
134	0.9824802313	0.08545668911
135	0.9829846222	0.08495653448
136	0.98274715	0.0844524621
137	0.98274715	0.0839993043
138	0.98274715	0.08364066041
139	0.98274715	0.08316821487
140	0.9837853784	0.08248459888
141	0.9837853784	0.08204846257
142	0.9837853784	0.08178796324
143	0.9839223066	0.08137436135
144	0.9839223066	0.08096063667
145	0.9839223066	0.08062237141
146	0.9839223066	0.08024110646
147	0.9839223066	0.07969317208
148	0.9843261535	0.07930555889
149	0.9843261535	0.07889822176
150	0.9843261535	0.07853560836
151	0.9841892253	0.07809240258
152	0.9843261535	0.07777047806
153	0.9843261535	0.07741286913
154	0.984859991	0.07704614895
155	0.984859991	0.07669342498
156	0.984859991	0.07627295506
157	0.984859991	0.07599446712
158	0.984859991	0.0756801728
159	0.984859991	0.07524519501
160	0.984859991	0.07479821158
161	0.9851269097	0.07448723084
162	0.984859991	0.0742073259
163	0.984859991	0.07399134715
164	0.9851269097	0.0737495812
165	0.9851269097	0.07342982528
166	0.9851269097	0.07299755342
167	0.9853938285	0.07264413816
168	0.9851269097	0.07223849034
169	0.9853938285	0.07197686159
170	0.9856607472	0.07165772212
171	0.9856607472	0.07141691031
172	0.9856607472	0.07118440302
173	0.9852569003	0.0707936307
174	0.9852569003	0.07058702073
175	0.9852569003	0.07032670337
176	0.9852569003	0.07004734247
177	0.9852569003	0.06984150078
178	0.985523819	0.06955353156
179	0.985523819	0.06920905274
180	0.985523819	0.06898412751
181	0.9856607472	0.068735441
182	0.9856607472	0.06848959145
183	0.985523819	0.06819453221
184	0.985523819	0.0679230594
185	0.985523819	0.06758826382
186	0.9857907377	0.06738072833
187	0.9857907377	0.06710912776
188	0.9861651381	0.06685359138
189	0.9861651381	0.06651547014
190	0.9863020663	0.06630558892
191	0.9860351476	0.06600412839
192	0.9860645942	0.06555136949
193	0.9860645942	0.06531682435
194	0.9863020663	0.06500338658
195	0.9863020663	0.0647531145
196	0.9863020663	0.06447974991
197	0.9863020663	0.06429335678
198	0.9864389946	0.06406914903
199	0.9864389946	0.06383306587
200	0.9864389946	0.06367767301
201	0.9865759228	0.06345890434
202	0.9865759228	0.06329490274
203	0.9865759228	0.06310276849
204	0.9868428415	0.06288830734
205	0.9868428415	0.0626960556
206	0.9869797697	0.06252865981
207	0.9869797697	0.06237453436
208	0.9875136072	0.06202334466
209	0.9875136072	0.06188215564
210	0.9875136072	0.0616255291
211	0.9875136072	0.06139800246
212	0.9875136072	0.06116935425
213	0.987376679	0.06097741336
214	0.9877805259	0.06079554023
215	0.9877805259	0.06057816423
216	0.9877805259	0.06042283713
217	0.9880543824	0.06015002873
218	0.9879174541	0.059906282
219	0.9880543824	0.05962950728
220	0.9880543824	0.05948058399
221	0.9880543824	0.05930690413
222	0.9880543824	0.0591116219
223	0.9880543824	0.0589582021
224	0.9881913106	0.05872882102
225	0.9881913106	0.05858539279
226	0.9880543824	0.05845909859
227	0.9880543824	0.05826655123
228	0.9881913106	0.05810854647
229	0.9881913106	0.05795734476
230	0.9884582293	0.05778501389
231	0.9881913106	0.05761481991
232	0.9881913106	0.05742608401
233	0.9881913106	0.05721581903
234	0.9884582293	0.05707049222
235	0.9884582293	0.05689384241
236	0.9884582293	0.05667996306
237	0.9884582293	0.05652360804
238	0.9884582293	0.0563821954
239	0.9885951575	0.05619803653
240	0.9885951575	0.05601875865
241	0.9885951575	0.05586856809
242	0.9888620763	0.05570181625
243	0.9891359327	0.0555567989
244	0.9891359327	0.05534607492
245	0.9889990045	0.05517078793
246	0.9891359327	0.05503458031
247	0.988869014	0.05483945975
248	0.988869014	0.0547203012
249	0.9889990045	0.05456849359
250	0.9891359327	0.05440281361
251	0.9892728609	0.05419080568
252	0.9894028514	0.05396552357
253	0.9892728609	0.05380292119
254	0.9895397796	0.05361569189
255	0.9896767079	0.05346491792
256	0.9896767079	0.05335361016
257	0.9900874925	0.05315442999
258	0.9902244207	0.05303358932
259	0.9899505643	0.05291758409
260	0.9903544112	0.05276517398
261	0.9903544112	0.05252789156
262	0.9904913395	0.05243136721
263	0.9904913395	0.05227529183
264	0.9906282677	0.05207780347
265	0.9904913395	0.05194572003
266	0.9904913395	0.05177685102
267	0.9904913395	0.05162345943
268	0.9906282677	0.051468381
269	0.9906282677	0.05136812883
270	0.9908951864	0.05125392897
271	0.9908951864	0.05106441326
272	0.9908951864	0.05098580034
273	0.9908951864	0.05084076432
274	0.9908951864	0.05069560981
275	0.9910321146	0.05052491845
276	0.9907651959	0.05038696289
277	0.9910321146	0.05023247812
278	0.9910321146	0.05010474756
279	0.9910321146	0.04994699664
280	0.9910321146	0.04982130009
281	0.9910321146	0.04971318935
282	0.9910321146	0.04962268927
283	0.9911690429	0.04952370928
284	0.9911690429	0.04940052706
285	0.9911690429	0.04927655866
286	0.9911690429	0.04915509141
287	0.9911690429	0.04903255636
288	0.9911690429	0.0489340484
289	0.9911690429	0.04881643842
290	0.9911690429	0.04871923088
291	0.9911690429	0.04861011766
292	0.9911690429	0.04834685856
293	0.9911690429	0.04821324556
294	0.9911690429	0.04810278677
295	0.9911690429	0.04795758167
296	0.9911690429	0.04778022413
297	0.9913059711	0.04768527508
298	0.9913059711	0.04758111248
299	0.9915728898	0.04746806821
300	0.9915728898	0.04734713912
301	0.9915728898	0.04725609624
302	0.9915728898	0.04714408283
303	0.9915728898	0.04703004104
304	0.9915728898	0.04691998322
305	0.9915728898	0.04682965775
306	0.991709818	0.04666298397
307	0.991709818	0.04649143539
308	0.991709818	0.0463349625
309	0.991709818	0.04624228461
310	0.991709818	0.04613069673
311	0.991709818	0.04605172811
312	0.9918467462	0.04593978563
313	0.9918467462	0.04569718092
314	0.9918467462	0.04558776117
315	0.9918467462	0.04545891933
316	0.9918467462	0.04535911037
317	0.9918467462	0.04525773876
318	0.9918467462	0.04516197941
319	0.9918467462	0.0450538033
320	0.9918467462	0.04492996936
321	0.9918467462	0.0448602204
322	0.9918467462	0.04478436359
323	0.9918467462	0.04467709098
324	0.9918467462	0.0445616206
325	0.9919836745	0.04446997455
326	0.9919836745	0.0443659718
327	0.9919836745	0.04424737174
328	0.9919836745	0.04416202994
329	0.9919836745	0.04408200225
330	0.9919836745	0.04396328817
331	0.9921206027	0.04385867656
332	0.9919836745	0.04360043789
333	0.9919836745	0.04349708986
334	0.9923875214	0.04343374606
335	0.9923875214	0.04333440263
336	0.9923875214	0.04323561146
337	0.9926544401	0.04316298617
338	0.9926544401	0.04297958371
339	0.9926544401	0.04288566325
340	0.9927913684	0.04278554408
341	0.9926544401	0.04269713602
342	0.9926544401	0.04262802031
343	0.9929213589	0.04253782174
344	0.9929213589	0.04243515528
345	0.9930582871	0.04235666911
346	0.9930582871	0.04228676252
347	0.9930582871	0.04221219656
348	0.9930582871	0.0420933366
349	0.9930582871	0.04198575279
350	0.9930582871	0.04189870281
351	0.9930582871	0.04182376167
352	0.9931952153	0.04174392067
353	0.9931952153	0.04166040111
354	0.9931952153	0.04154939068
355	0.9931952153	0.04142632518
356	0.9931952153	0.04135856961
357	0.9931952153	0.04129753484
358	0.9931952153	0.04115485488
359	0.9931952153	0.04107316843
360	0.993462134	0.0410124269
361	0.9931952153	0.04092538788
362	0.993462134	0.04084017982
363	0.993462134	0.04076277494
364	0.993462134	0.04066204942
365	0.993462134	0.04058125627
366	0.9937290528	0.04050399821
367	0.9937290528	0.04042892884
368	0.993865981	0.04035555329
369	0.9937290528	0.04027128848
370	0.993865981	0.04020005718
371	0.9940029092	0.04012758932
372	0.9940029092	0.04003909423
373	0.9940029092	0.03994084487
374	0.9940029092	0.0398625495
375	0.9940029092	0.03978682046
376	0.9940029092	0.03969451146
377	0.9942698279	0.03960695934
378	0.9945367467	0.03953385347
379	0.9945367467	0.03945209648
380	0.9942698279	0.03936702295
