iter	Passed	Remaining
440	2277	304
441	2282	299
442	2288	294
443	2294	289
444	2298	284
445	2306	279
446	2311	274
447	2316	268
448	2323	263
449	2327	258
450	2333	253
451	2338	248
452	2343	243
453	2347	237
454	2353	232
455	2359	227
456	2363	222
457	2371	217
458	2375	212
459	2380	206
460	2387	202
461	2392	196
462	2397	191
463	2404	186
464	2408	181
465	2413	176
466	2420	171
467	2425	165
468	2430	160
469	2436	155
470	2442	150
471	2446	145
472	2451	139
473	2457	134
474	2463	129
475	2469	124
476	2473	119
477	2478	114
478	2484	108
479	2488	103
480	2492	98
481	2497	93
482	2502	88
483	2507	82
484	2513	77
485	2518	72
486	2522	67
487	2527	62
488	2533	56
489	2537	51
490	2542	46
491	2548	41
492	2553	36
493	2557	31
494	2563	25
495	2568	20
496	2572	15
497	2577	10
498	2582	5
499	2586	0
